Timestamp,OTR or COTA?,Setting: ,Education,Years of experience,State ,City/town (or Country if not US),Zip code,Geographic area,My work is:,Average hours / week,My pay rate is,HOURLY RATE,Yearly income from this job,Benefits,"What certifications or special training you have, if applicable (leave blank if none)",Productivity expectations,Anything further you'd like to mention regarding salary?,Gender (for gender gap comparisons),Did you negotiate your rate?
11/18/2017,OT,SNF,Masters,10+,IA,Creston,50801,Rural,Full time,40+,Hourly,47.75,"85,000.00","401K or equivalent, Health insurance, Dental, Disibility, CEU reimbursement",,85%,,Female,
11/18/2017,COTA,SNF,Associates,15+,NY,Kingston,12401,City,Full time,35+,Hourly,32.00,"66,500.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,90%,,Female,
11/18/2017,OT,School system,Masters,3,FL,Palm bay,32909,Rural,Full time,40+,Hourly,47.00,"68,000.00",None,,N/A,,Female,
11/18/2017,COTA,SNF,Associates,New grad / less than a year,OH,Bellefontaine ,43311,Rural,PRN,10-15,Hourly,27.00,,None,,90%,,Female,
11/18/2017,OT,"Outpatient, Pediatric",Masters,3,TX,Fort Worth ,76104,City,Full time,40+,Salaried,27.00,"65,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,60%,,Female,
11/18/2017,OT,SNF,Masters,4,MD,Baltimore ,21229,City,Full time,40+,Hourly,41.00,"85,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility","LSVT-BIG Certified, PAMS Certified",85%,I’m an Assistant Director of Rehab,Female,
11/18/2017,OT,Inpatient Acute Rehab,Masters,2,AZ,Mesa,85206,Large metro area,Full time,40+,Hourly,33.23,"69,118.40","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,90%,,Female,
11/18/2017,OT,School system,Masters,4,CA,Oceanside,92054,City,Full time,40+,Hourly,46.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,N/A,,Female,
11/18/2017,OT,Acute,Masters,10+,MA,Swansea,02777,Rural,Full time,40+,Hourly,38.08,"79,206.00","401K or equivalent, Health insurance, Dental, Disibility, Tuition reimbursement",,85%,"I have been a OTR for 2 years, prior I was a COTA for 12 years ",Female,
11/18/2017,COTA,Outpatient,Bachelors,2,MD,Derwood,21750,Rural,Full time,30+,Hourly,40.00,"62,400.00","401K or equivalent, Health insurance, Dental, Vision",Feeding therapy,N/A,,Female,
11/18/2017,OT,"Outpatient, Home health",Masters,10+,TN,Fayetteville ,37334,Rural,Full time,35+,Hourly,43.00,"89,400.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",Lymphedema,75%,,Female,
11/18/2017,OT,Outpatient,Masters,5+,IL,Chicago ,60608,Large metro area,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",CLT,75%,,Female,
11/18/2017,OT,"Inpatient, Home health",Masters,3,NY,Shortsville,14548,Rural,Full time,40+,Hourly,30.00,"62,500.00","Health insurance, Dental, Tuition reimbursement, CEU reimbursement",,N/A,,Female,
11/18/2017,OT,School system,Masters,4,OH,Cleveland,44035,City,Salary (exempt from overtime pay),35+,Salaried,24.00,"49,416.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",,Caseload max-40,,Female,
11/18/2017,COTA,Geriatrics,Associates,4,NC,Cary,27606,City,Full time,30+,Hourly,28.00,"50,000.00",None,,90%,,Female,
11/18/2017,OT,SNF,Bachelors,10+,OH,"Columbus, Ohio",43123,Large metro area,Full time,40+,Hourly,55.00,"115,000.00","401K or equivalent, Health insurance, Dental, Vision",,85%,,Male,
11/18/2017,OT,Acute,Masters,3,PA,Langhrne,18966,Rural,Full time,40+,Contract,33.17,"69,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility","LSVT BIG, vestibular",N/A,,Female,
11/18/2017,OT,SNF,Masters,10+,AZ,Tucson,85718,Large metro area,Part time,20+,Hourly,51.50,"61,194.00",None,,85%,,Female,
11/18/2017,OT,Pediatric,Masters,3,PA,Media,19063,Large metro area,Part time,20+,Salary,44.00,"55,000.00",CEU reimbursement,,75%,,Female,
11/18/2017,OT,SNF,Masters,5+,PA,Erie,16412,Rural,Full time,35+,Hourly,38.00,"80,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,85%,,Female,
11/18/2017,OT,"Outpatient, Pediatric",Masters,1,LA,Opelousas,70592,Rural,Part time,20+,Hourly,31.25,"35,250.00",CEU reimbursement,,100,,Female,
11/18/2017,COTA,LTACH,Bachelors,20+,TX,Ft. Worth,76104,City,Full time,35+,Hourly,34.54,"71,843.20","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,80%,,Female,
11/18/2017,OT,"Acute, Consultant, Rehab manager, Adult",Masters,5+,CA,San Francisco ,94123,City,Full time,40+,Hourly,50.00,"96,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,60%,,Female,
11/18/2017,OT,Pediatric,Masters,5+,IN,Indianapolis ,46038,City,Full time,35+,Hourly,38.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,N/A,,Female,
11/18/2017,OT,Early Intervention,Masters,1,LA,Lafayette,70592,City,Contract,2-4,Contract,82.35,"8,565.00",None,,"None, I Am paid per visit and manage my own caseload and visits",,Female,
11/18/2017,OT,"Early Intervention, School system, Pediatric",Masters,New grad / less than a year,PA,Philadelphia ,19146,City,Full time,40+,Hourly,27.00,"45,700.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,N/A,,Female,
11/18/2017,COTA,SNF,Bachelors,2,IL,Chicago,60604,City,Full time,35+,Hourly,27.00,"52,000.00","401K or equivalent, Health insurance, Dental, Vision",,95%,,Female,
11/18/2017,OT,Geriatrics,Masters,20+,OK,Oklahoma City ,73003,Large metro area,Full time,40+,Hourly,48.95,"101,816.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,70%,"You have to negotiate, don’t just accept their first offer.",Female,
11/18/2017,OT,School system,Masters,1,NY,New York City ,10019,City,Contract,30+,Hourly,59.00,"74,340.00","401K or equivalent, Health insurance, Dental, Disibility",,11 students/day,,Female,
11/18/2017,OT,"SNF, LTC, Adult, Geriatrics",Masters,5+,VA,Fredericksburg ,22405,City,Full time,35+,Hourly,40.25,"80,000.00","401K or equivalent, Health insurance, Dental, Vision",,80%,,Male,
11/18/2017,OT,Acute,Masters,New grad / less than a year,GA,Albany,31707,City,Full time,35+,Hourly,30.81,"64,000.00","401K or equivalent, Health insurance",,60%,,Female,
11/18/2017,OT,SNF,Masters,1,CA,Petaluma,94952,town,Full time,35+,Hourly,38.00,"79,000.00","Health insurance, Dental, Vision",,85%,,Female,
11/18/2017,OT,Home health,Masters,5+,NM,SE NM,88201,Rural,Full time,40+,Salary,36.00,"75,000.00","401K or equivalent, Health insurance, Dental, Vision, 30 days pdo/yr",,27 pts 1 routine 1.5 eval,$50 per point over productivity,Female,
11/18/2017,OT,Acute,Bachelors,15+,NV,LAS VEGAs,89130,City,Full time,40+,Hourly,53.00,"112,000.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement","CNT, NOMAS SI ",80%,Union based,Female,
11/18/2017,OT,SNF,OTD,25+,WV,Morgantown,26501,City,PRN,5,Hourly,52.00,"13,500.00",None,,N/A,,Male,
11/18/2017,OT,"Acute, Outpatient, SNF, LTC, Hand Therapy",Masters,4,IA,Nevada,50201,Rural,Salary (exempt from overtime pay),40+,Salary,31.70,"66,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement, Quarterly bonus",,60%,"66,000 + with bonuses ",Female,
11/18/2017,OT,Acute,Masters,1,PA,Harrisburg,17109,City,Full time,40+,Hourly,32.34,"65,187.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,75%,,Female,
11/18/2017,OT,Acute,Masters,5+,MO,Saint Joseph ,64507,Suburban,Full time,35+,Hourly,35.00,"64,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,95%,,Female,
11/18/2017,OT,LTC,Masters,New grad / less than a year,KS,Overland Park,66013,Large metro area,Full time,35+,Hourly,36.89,"76,731.20","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,80%,,Female,
11/18/2017,COTA,"Day Habilitation, Adult",Associates,5+,NY,Albany,12159,Town ,Full time,35+,Hourly,19.00,"35,000.00","Health insurance, Dental, Vision, Tuition reimbursement",,N/A,,Female,
11/18/2017,OT,"SNF, Rehab manager",Masters,10+,TN,Johnson City,37617,Rural,Salary (exempt from overtime pay),40+,Salaried ,45.43,"94,500.00","Health insurance, CEU reimbursement",LSVT BIG,60%,,Female,
11/18/2017,OT,"Inpatient, Outpatient, LTC, Home health",Masters,New grad / less than a year,NE,Alliance,69334,Rural,Full time,30+,Hourly,55.00,"85,800.00",Mileage and drive time ,PAMS,70%,The hours fluctuate based on caseload varying from 20 to 55 but even out to 35 hours,Female,
11/18/2017,OT,"Acute, Inpatient",Masters,5+,NJ,Camden,08081,City,Full time,40+,Hourly,38.00,"79,500.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement, Sign on bonus ",,70%,,Female,
11/18/2017,COTA,SNF,Associates,5+,IN,Noblesville,46062,City,Full time,35+,Hourly,24.75,"50,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,90%,Raises (even cost of living) are few and far between ,Female,
11/18/2017,OT,Acute,Masters,New grad / less than a year,NC,Charlotte ,28031,City,Full time,40+,Contract,29.81,"62,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,60%,,Female,
11/18/2017,COTA,SNF,Associates,5+,NY,Albany,12208,City,PRN,Variable ,PRN,32.00,"8,000.00",None,,92%,,Female,
11/18/2017,OT,SNF,Masters,1,HI,Honolulu,96819,City,Full time,35+,Hourly,30.00,"62,400.00",None,,80%,,Female,
11/18/2017,OT,Early Intervention,Bachelors,15+,VA,Chantilly,20152,Large metro area,Full time,35+,Hourly,41.00,"81,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement","Infant massage, feeding",N/A,,Female,
11/18/2017,OT,School system,Masters,1,NJ,Montclair,07034,Large metro area,Full time,35+,Contract,32.96,"60,000.00","Health insurance, Dental, Vision, CEU reimbursement",,N/A,,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,GA,Flowery Branch ,30680,City,Full time,35+,Hourly,40.00,"72,800.00",Health insurance,,85%,,Female,
11/18/2017,OT,"Outpatient, Pediatric",OTD,New grad / less than a year,OH,Toledo,43615,City,Full time,40+,Hourly,28.00,"59,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,75%,,Female,
11/18/2017,COTA,SNF,Associates,1,AL,Owens Cross Roads,35763,Rural,Full time,40+,Hourly,22.00,"45,760.00",None,CPR,90%,,Female,
11/18/2017,OT,Acute,Masters,1,DC,Washington,20003,Large metro area,Full time,40+,Hourly,37.04,"77,043.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement",,8-9 pt per day,"Earn $6,000 on top of base from working 12 weekend days per year",Male,
11/18/2017,OT,SNF,Masters,4,IL,Chicago,60613,City,PRN,25+,PRN,48.00,"62,000.00",None,CLT,88,"62,000 rough estimate. I also have another OT job 2x/wk",Female,
11/18/2017,OT,"Outpatient, Pediatric",Masters,New grad / less than a year,MO,Bolivar,65613,Rural,Full time,40+,Hourly,30.33,"63,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,69,,Female,
11/18/2017,OT,School system,Masters,5+,IL,Wilmette,60091,City,Full time,40+,Contract,32.69,"68,000.00","401K or equivalent, Health insurance, Dental, Disibility, Tuition reimbursement, CEU reimbursement",,N/A,,Female,
11/18/2017,OT,Inpatient,Masters,3,TX,Dallas,75007,Large metro area,PRN,20+,Hourly,49.53,"50,000.00",None,,75%,,Female,
11/18/2017,OT,Home health,Masters,15+,AL,Sylacauga,35150,Rural,Full time,35+,Salary,50.48,"105,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,30 units per week,,Female,
11/18/2017,OT,Pediatric,Masters,2,IL,St. Charles,60174,Large metro area,Full time,40+,Salary,32.00,"65,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,80%,,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,CA,"San Francisco, CA",94112,City,Full time,40+,Hourly,42.00,"87,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,87%,,Female,
11/18/2017,OT,Home health,Masters,2,CO,Longmont,80503,Large metro area,Full time,35+,Hourly,43.00,"78,000.00","Health insurance, Dental, Vision",,22 visits/week,,Female,
11/18/2017,COTA,School system,Associates,3,AR,Forrest City ,72335,Rural,Full time,25+,Hourly,33.50,"42,000.00","CEU reimbursement, Stipend for health insurance ",,95%,,Female,
11/18/2017,OT,"Inpatient, Outpatient",Masters,1,MI,Ironwood,49938,Rural,Full time,40+,Hourly,28.00,"60,320.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",NDT,60%,,Female,
11/18/2017,COTA,"Outpatient, Hand Therapy",Associates,2,IL,Mount Vernon,62864,Rural,PRN,20+,Hourly,20.00,"1,040.00",None,PAM’s Certificate ,N/A,,Female,
11/18/2017,COTA,SNF,Associates,5+,FL,Palm harbor,33556,City,PRN,25+,PRN,35.50,"40,000.00",None,,85%,,Female,
11/18/2017,OT,"Early Intervention, School system, Pediatric",Masters,New grad / less than a year,NJ,Hillsborough,08844,Rural,Contract,20+,Hourly,60.00,"80,000.00",None,,N/A,"EI pays 80, clinics and school pay 60 but I couldn't put a range",Female,
11/18/2017,COTA,Outpatient,Associates,10+,OH,Defiance,43512,Rural,Part time,20+,Hourly,22.00,"22,000.00",None,,85%,,Female,
11/18/2017,OT,SNF,Masters,2,MI,Howell,48843,suburban,PRN,6-30,PRN,45.00,"35,000.00",401K or equivalent,,90%,,Female,
11/18/2017,OT,"Outpatient, Pediatric",Masters,3,GA,Atlanta ,30328,Large metro area,Full time,40+,Hourly,31.25,"65,000.00",None,PAMS and  sensory integration ,75%,,Female,
11/18/2017,OT,SNF,Bachelors,15+,MI,Westland,48185,City,Part time,18,Hourly,42.45,"39,733.00",CEU reimbursement,,85%,,Female,
11/18/2017,OT,Community based TBI,Masters,10+,MI,48103,48103,City,Full time,35+,Hourly,46.00,"82,000.00","401K or equivalent, Disibility, CEU reimbursement",CBIS,75%,,Female,
11/18/2017,OT,SNF,Masters,3,IL,Chicago,60613,City,Full time,40+,Hourly,42.00,"87,360.00","401K or equivalent, Health insurance, Dental, CEU reimbursement",,92%,,Female,
11/18/2017,OT,Hand Therapy,Masters,New grad / less than a year,NC,Asheville,28704,City,Full time,40+,Salary,28.85,"60,000.00","401K or equivalent, Health insurance, Dental, CEU reimbursement",,85%,,Female,
11/18/2017,OT,"Inpatient, Outpatient, Pediatric, Adult, Geriatrics",Masters,5+,MN,Alexandria,56308,Rural,Full time,40+,Hourly,31.86,"65,894.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement","PAMs, SOS",80%,,Female,
11/18/2017,OT,School system,Masters,25+,WI,Muskego ,53150,City,Full time,40+,Contract,33.65,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,N/A,,Female,
11/18/2017,COTA,Pediatric,Associates,New grad / less than a year,VA,Stafford,22554,Large metro area,Full time,40+,Salary,24.00,"50,000.00",CEU reimbursement,,70%,,Female,
11/18/2017,OT,Home health,Masters,5+,PA,Philadelphia,19136,Large metro area,Full time,40+,Hourly,40.10,"83,408.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",,6 patients per day,,Female,
11/18/2017,OT,Home health,Bachelors,30+,CA,San Jose,95120,Large metro area,Contract,20+,Per visit,125.00,,None,,N/A,Contract number of hours I would like- try to keep it to 4 visits a day for 4 days. 125.00 per visit as contract; employee prn  was $75,Female,
11/18/2017,OT,Home health,Bachelors,20+,IL,Geneseo,61254,Rural,Full time,40+,Per visit ,85.00,"110,000.00","401K or equivalent, Health insurance, Dental",,25 visits a week ,,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,AL,Prattville,36067,Rural,Full time,40+,Hourly,32.00,"66,560.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,75%,,Female,
11/18/2017,COTA,SNF,Associates,3,IL,Evergreen park,60608,Large metro area,Full time,35+,Hourly,28.50,"52,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,90%,,Female,
11/18/2017,OT,Early Intervention,Masters,10+,FL,Winter Garden,34787,Large metro area,Contract,5,Contract,55.00,"14,000.00",None,,N/A,"paid per unit, tx time only",Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,NY,Buffalo,14222,City,Full time,35+,Hourly,28.00,"50,060.00","401K or equivalent, Vision, CEU reimbursement",,85%,,Female,
11/18/2017,COTA,Telepractice school based,Masters,10+,FL,Winter Garden,34787,Large metro area,Contract,15,Contract,42.00,"25,000.00",None,,N/A,Paid for Tx and paperwork time at hourly rate.,Female,
11/18/2017,OT,SNF,Masters,New grad / less than a year,FL,Jacksonville,32246,City,Full time,40+,Salaried,30.00,"60,000.00","Health insurance, Dental, Vision, Disibility",,80%,,Female,
11/18/2017,OT,Acute,Masters,10+,HI,Kailua,96744,City,Full time,35+,Hourly,40.17,"83,553.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,70%,,Female,
11/18/2017,OT,"Inpatient, SNF",Masters,New grad / less than a year,CA,Poway,92064,City,Full time,35+,Hourly,38.91,"71,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement, Prepaid legal, pet insurance, discounted entertainment",,75%,,Female,
11/18/2017,OT,"Pediatric, Community based/ in home pediatrics ",Masters,2,PA,Pittsburgh ,15234,Suburban ,Full time,25+,Per visit,45.00,"50,000.00","CEU reimbursement, Vacation, mileage, health stipend ",,I treat all of my clients  per week as the only OT ,,Female,
11/18/2017,OT,SNF,Masters,2,CA,Burlingame ,94010,City,Full time,35+,Hourly,47.00,"90,000.00",401K or equivalent,,80%,,Female,
11/18/2017,OT,SNF,Masters,2,NJ,Orange ,07051,City,Full time,40+,Hourly,38.00,"80,000.00","Health insurance, Vision, Disibility, CEU reimbursement",,90%,,Female,
11/18/2017,OT,SNF,Bachelors,10+,MI,Whitmore Lake,48189,Large metro area,PRN,35+,Hourly,45.00,"81,900.00",None,,90%,,Female,
11/18/2017,OT,Home health,Masters,4,KY,Ashland ,41101,Rural,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision",,75%,,Female,
11/18/2017,COTA,Acute,Associates,3,FL,Tampa ,33613,City,Part time,35+,PRN,35.00,"58,240.00",CEU reimbursement,,75%,Part-time ,Female,
11/18/2017,OT,Academia/Higher education,PhD,15+,NJ,West Caldwell,07006,Large metro area,Full time,35+,Contract,55.49,"101,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,N/A,,Female,
11/18/2017,COTA,SNF,Associates,5+,NY,Middletown ,10940,Rural,Part time,30+,Hourly,25.14,"41,832.00","Health insurance, Dental, Vision, Tuition reimbursement",,95%,,Female,
11/18/2017,OT,Inpatient,Masters,1,CA,Mission Hills,91345,City,Full time,40+,Hourly,42.50,"88, 400","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,90%,,Female,
11/18/2017,COTA,School system,Associates,10+,MD,Columbia,21045,City,Salary (exempt from overtime pay),35+,Contract,25.82,"47,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,4.5 hours of direct student treatment per day (approx 65%),,Female,
11/18/2017,OT,Early Intervention,Masters,3,TX,Waco,76701,City,Full time,40+,Contract,34.62,"72,000.00","401K or equivalent, Health insurance, Dental",,90%,,Male,
11/18/2017,OT,Acute,Masters,New grad / less than a year,AZ,Phoenix,85027,Large metro area,Full time,40+,Hourly,34.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",LSVT-BIG,18 billable units per 8 hours,4% company match to retirement,Female,
11/18/2017,OT,Outpatient,Masters,New grad / less than a year,NY,Pleasantville,10570,City,Full time,40+,Hourly,37.00,"74,000.00",Health insurance,,85%,,Male,
11/18/2017,OT,School system,Masters,New grad / less than a year,WA,Seattle,98102,Large metro area,Contract,35+,Contract,44.00,"66,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,N/A,,Female,
11/18/2017,COTA,SNF,Associates,5+,MI,Grand rapids,49508,Large metro area,Full time,30+,Hourly,29.00,"49,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Licensure reimbursement ",,85%,,Female,
11/18/2017,OT,Outpatient,Masters,New grad / less than a year,ID,Rexburg,83440,City,Full time,30+,Hourly,34.00,"53,040.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,N/A,,Male,
11/18/2017,OT,Acute,OTD,New grad / less than a year,TN,Knoxville,37912,City,Full time,40+,Salary,31.50,"65,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,90%,,Female,
11/18/2017,OT,"ALF, Home health",Masters,4,PA,Schnecksville,18078,Rural,PRN,30+,PRN,65.00,"50,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement, meals at ALF",,N/A,,Female,
11/18/2017,OT,SNF,OTD,5+,CA,Pasadena,91101,City,PRN,30+,PRN,50.00,"78,000.00",None,"Certified care manager, registered yoga teacher ",90%,,Female,
11/18/2017,OT,SNF,Masters,30+,NY,Rockville Center,11570,Large metro area,Full time,40+,Hourly,36.00,"74,880.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, PTO",,85%,,Female,
11/18/2017,OT,Early Intervention,Masters,3,MA,Malden,02148,City,PRN,25+,Hourly,50.00,"65,000.00","Health insurance, Dental, CEU reimbursement",,75%,,Female,
11/18/2017,COTA,"Outpatient, Pediatric, Adult",Bachelors,5+,NE,Hastings,68901,City,Part time,30+,Hourly,22.00,"34,420.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",Therapeutic Listening,95%,,Female,
11/18/2017,OT,"Acute, Adult",Masters,New grad / less than a year,TX,San Antonio,78261,Large metro area,Full time,40+,Hourly,33.50,"69,000.00","401K or equivalent, Health insurance, Dental, Vision",,70%,,Female,
11/18/2017,OT,Acute,Masters,New grad / less than a year,MO,St. Louis,63108,Large metro area,Contract,40+,Hourly,34.00,"70,720.00","Health insurance, Dental",,70%,,Female,
11/18/2017,OT,Pediatric,Masters,New grad / less than a year,CO,Colorado Springs ,80906,City,Full time,40+,Hourly,31.00,"64,480.00","401K or equivalent, Health insurance, CEU reimbursement",,70%,,Female,
11/18/2017,OT,"Acute, Outpatient",Masters,New grad / less than a year,OR,Salem,97301,City,Full time,40+,Salary,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Disibility, Tuition reimbursement, CEU reimbursement",,75%,,Male,
11/18/2017,COTA,SNF,Associates,1,OH,Mansfield,44903,City,Full time,40+,Hourly,23.00,"40,000.00","Health insurance, Dental, Vision",,90%,,Female,
11/18/2017,OT,Home health,Masters,2,CA,san jose,95135,City,Full time,40+,salary,64.91,"135,012.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,58 point visit 2 weeks,,Female,
11/18/2017,OT,SNF,Bachelors,20+,WA,Bainbridge Island ,98110,Rural within large metro area,Full time,35+,Hourly,50.86,"105,000.00","401K or equivalent, Health insurance, Dental, CEU reimbursement, While health and dental are offered, I decline as I get better benefits through my spouse’s job",,50%,DOR,Female,
11/18/2017,OT,Inpatient,Bachelors,20+,KS,Wichita,67204,City,PRN,5-10,PRN,53.00,"20,000.00",None,NDT certified,90%,,Female,
11/18/2017,OT,"Mental health, Pediatric",Masters,15+,Outside US or US territories,"Nova Scotia, Canada",0,City,Part time,30+,Hourly,37.00,"53,872.00","401K or equivalent, Health insurance, Vision, Disibility",,85%,Canadian dollars,Female,
11/18/2017,OT,School system,Masters,5+,MD,Baltimore ,21224,Large metro area,Full time,40+,Salary ,27.88,"58,000.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement",SIPT,80%,,Female,
11/18/2017,OT,SNF,Masters,2,CA,San Francisco,94112,City,Full time,35+,Hourly,45.00,"93,500.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,90%,,Female,
11/18/2017,OT,Adult community health PACE program,Masters,3,CA,San Francisco,94112,City,Full time,30+,Salary,38.00,"63,232.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,N/A,,Female,
11/18/2017,COTA,SNF,Associates,3,KS,Osage City,66604,Rural,Full time,30+,Hourly,25.00,"38,250.00","401K or equivalent, Health insurance, CEU reimbursement",,95%,,Female,
11/18/2017,OT,Pediatric,Masters,New grad / less than a year,GA,Warner Robins ,31088,City,Salary (exempt from overtime pay),40+,Hourly,31.25,"65,000.00","401K or equivalent, Health insurance, Tuition reimbursement, CEU reimbursement",,80%,,Female,
11/18/2017,OT,"Acute, Inpatient",Masters,3,NY,Albany,12208,City,Full time,40+,Hourly,29.00,"60,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,60%,$1.50 weekend differential,Female,
